Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,88.730003,88.919998,87.550003,87.790001,86.613312,6044300
2022-01-14,87.480003,88.099998,86.660004,87.690002,86.514648,6054800
2022-01-18,86.870003,86.970001,85.339996,85.550003,84.403336,6824700
2022-01-19,85.769997,86.690002,83.230003,83.379997,82.262421,10501800
2022-01-20,83.919998,85.000000,82.519997,82.720001,81.611267,10836900
2022-01-21,83.360001,83.389999,82.029999,82.220001,81.117966,11609000
2022-01-24,81.220001,82.419998,79.589996,82.419998,81.315285,16770400
2022-01-25,81.330002,82.099998,80.199997,81.070000,79.983376,13469900
2022-01-26,81.910004,82.029999,79.279999,79.589996,78.523209,13971300
2022-01-27,80.110001,81.150002,79.199997,79.779999,78.710663,10331900
2022-01-28,79.989998,80.500000,78.570000,80.480003,79.401291,7854700
2022-01-31,80.489998,81.639999,80.120003,81.160004,80.072182,10594200
2022-02-01,81.400002,81.400002,79.650002,81.040001,79.953789,8016900
2022-02-02,81.160004,82.879997,80.839996,82.500000,81.394211,9287600
2022-02-03,81.629997,82.760002,81.629997,81.940002,80.841721,8207200
2022-02-04,82.029999,82.910004,81.470001,82.110001,81.009438,5570200
2022-02-07,82.139999,82.250000,80.660004,80.739998,79.657799,6292200
2022-02-08,80.290001,80.860001,79.800003,80.790001,79.707138,6585300
2022-02-09,81.750000,83.650002,81.650002,83.449997,82.331482,8755900
2022-02-10,82.750000,83.779999,81.620003,81.849998,80.752922,6336300
2022-02-11,81.839996,82.430000,79.529999,79.750000,78.681076,7670500
2022-02-14,79.580002,79.730003,78.440002,78.949997,77.891792,5389800
2022-02-15,79.389999,79.930000,79.209999,79.769997,78.700798,5712800
2022-02-16,79.470001,79.779999,78.220001,79.190002,78.128578,6227000
2022-02-17,78.760002,78.980003,75.330002,75.529999,74.517632,9247100
2022-02-18,75.500000,75.730003,74.279999,74.570000,73.570503,7790100
2022-02-22,73.820000,74.910004,73.620003,74.120003,73.126541,8039000
2022-02-23,74.070000,74.379997,72.349998,72.470001,71.498657,6807100
2022-02-24,70.940002,74.940002,70.230003,74.809998,73.807281,11240500
2022-02-25,74.650002,76.830002,74.320000,76.349998,75.326637,8291800
2022-02-28,75.570000,76.699997,75.019997,75.970001,74.951736,9234400
2022-03-01,75.980003,76.500000,75.620003,76.010002,74.991203,8752100
2022-03-02,76.449997,78.860001,76.250000,78.279999,77.230766,8527200
2022-03-03,78.959999,79.040001,77.430000,78.250000,77.201180,8203000
2022-03-04,77.669998,77.910004,75.779999,76.489998,75.464767,8841300
2022-03-07,76.290001,76.389999,73.440002,74.320000,73.323853,11110100
2022-03-08,73.839996,75.230003,73.110001,73.330002,72.347130,9134100
2022-03-09,74.919998,76.949997,74.690002,76.099998,75.079994,8959500
2022-03-10,75.099998,76.849998,75.029999,76.650002,75.622627,13812600
2022-03-11,76.699997,79.900002,74.000000,77.820000,76.776939,22795800
2022-03-14,77.919998,78.599998,75.440002,77.070000,76.036995,13306200
2022-03-15,78.050003,81.540001,77.070000,80.599998,79.519684,16847200
2022-03-16,81.000000,81.230003,77.750000,79.959999,78.888260,14071300
2022-03-17,79.779999,81.290001,79.260002,80.599998,79.519684,10462400
2022-03-18,79.629997,81.989998,78.839996,81.680000,80.585205,24176000
2022-03-21,81.279999,81.980003,80.269997,80.959999,79.874855,8131300
2022-03-22,81.459999,82.230003,80.830002,81.800003,80.703598,9292300
2022-03-23,81.250000,81.410004,80.220001,80.389999,79.312500,7451100
2022-03-24,80.650002,82.820000,80.489998,82.239998,81.137695,7025700
2022-03-25,82.040001,82.839996,81.230003,81.730003,80.634537,5682300
2022-03-28,81.739998,83.709999,81.739998,83.599998,82.479469,6626700
2022-03-29,84.489998,84.510002,83.110001,84.290001,83.160225,5762000
2022-03-30,83.959999,84.360001,83.120003,83.360001,82.242683,5533100
2022-03-31,83.110001,83.910004,82.589996,82.730003,81.621132,9433300
2022-04-01,83.040001,83.360001,81.470001,82.010002,80.910782,6147500
2022-04-04,82.250000,84.300003,82.000000,84.070000,82.943161,7882400
2022-04-05,83.400002,84.519997,82.669998,82.940002,81.828316,5143400
2022-04-06,81.919998,82.470001,81.370003,82.120003,81.019310,5492400
2022-04-07,81.250000,82.010002,80.779999,81.540001,80.761787,7112200
2022-04-08,81.709999,81.830002,80.260002,80.940002,80.167519,6182500
2022-04-11,80.629997,81.129997,79.699997,79.760002,78.998779,5738400
2022-04-12,79.949997,80.989998,79.019997,79.330002,78.572884,6174700
2022-04-13,79.260002,79.959999,78.629997,79.750000,78.988869,4728600
2022-04-14,79.830002,80.360001,79.320000,79.449997,78.691727,5590400
2022-04-18,79.150002,79.980003,77.910004,78.220001,77.473473,4955900
2022-04-19,78.250000,79.779999,78.239998,79.559998,78.800682,5412400
2022-04-20,79.790001,81.860001,79.790001,80.290001,79.523712,9472600
2022-04-21,81.489998,81.599998,79.330002,79.480003,78.721451,5616100
2022-04-22,79.269997,79.699997,76.160004,76.209999,75.482651,9357100
2022-04-25,76.199997,77.059998,74.699997,76.980003,76.245308,7305900
2022-04-26,76.349998,76.650002,74.480003,74.510002,73.798882,7555200
2022-04-27,74.580002,76.019997,74.419998,74.760002,74.046501,7279200
2022-04-28,75.519997,76.629997,74.599998,76.139999,75.413322,6177900
2022-04-29,75.339996,75.870003,73.150002,73.400002,72.699471,7946900
2022-05-02,73.930000,74.599998,72.529999,74.000000,73.293747,7379900
2022-05-03,73.849998,74.209999,72.809998,73.290001,72.590523,5211500
2022-05-04,73.379997,75.349998,72.790001,75.209999,74.492203,6759900
2022-05-05,74.000000,74.720001,71.989998,72.800003,72.105202,7197200
2022-05-06,72.129997,72.940002,71.629997,72.489998,71.798157,6222500
2022-05-09,71.639999,72.589996,71.169998,71.540001,70.857231,7019700
2022-05-10,72.500000,73.620003,71.269997,72.529999,71.837776,8129000
2022-05-11,72.309998,73.459999,70.870003,71.029999,70.352089,6932100
2022-05-12,70.879997,70.930000,68.970001,70.730003,70.054955,11698900
2022-05-13,70.959999,71.980003,70.529999,71.169998,70.490761,6700100
2022-05-16,70.690002,70.910004,69.389999,69.709999,69.044693,6942100
2022-05-17,71.050003,71.900002,70.699997,71.879997,71.193977,5952500
2022-05-18,70.800003,70.940002,67.809998,68.300003,67.648155,7977300
2022-05-19,67.480003,67.900002,66.720001,67.040001,66.400177,9451600
2022-05-20,67.879997,68.690002,66.849998,68.629997,67.974998,7531100
2022-05-23,69.309998,70.470001,68.669998,70.040001,69.371544,7370200
2022-05-24,69.669998,70.529999,68.309998,69.029999,68.371185,6644100
2022-05-25,68.879997,70.220001,68.769997,69.830002,69.163551,7103300
2022-05-26,70.129997,72.120003,69.910004,71.660004,70.976089,6758900
2022-05-27,72.360001,72.849998,71.550003,72.779999,72.085388,6566700
2022-05-31,72.230003,72.980003,71.519997,71.919998,71.233597,16890300
2022-06-01,73.019997,73.269997,71.150002,71.599998,70.916656,5804700
2022-06-02,71.480003,73.190002,71.010002,73.139999,72.441956,6200400
2022-06-03,72.559998,72.959999,71.230003,71.790001,71.104843,8169500
2022-06-06,72.629997,74.839996,72.629997,72.970001,72.273575,5274700
2022-06-07,71.589996,73.129997,71.589996,72.690002,71.996254,5675700
2022-06-08,72.010002,72.150002,70.940002,71.379997,70.698746,5253500
2022-06-09,70.769997,71.160004,69.199997,69.220001,68.559372,6824900
2022-06-10,67.980003,68.220001,66.959999,67.139999,66.499222,10256100
2022-06-13,65.779999,66.099998,63.759998,64.050003,63.438713,16547200
2022-06-14,72.000000,72.430000,69.019997,70.720001,70.045052,29661300
2022-06-15,70.449997,71.419998,68.669998,69.699997,69.034790,11765500
2022-06-16,68.500000,68.959999,67.580002,68.709999,68.054230,10686000
2022-06-17,68.750000,69.370003,67.389999,67.720001,67.073685,16445600
2022-06-21,68.610001,69.529999,67.389999,67.680000,67.034065,10047700
2022-06-22,66.930000,67.570000,66.379997,66.529999,65.895042,8219900
2022-06-23,66.449997,67.870003,66.309998,67.629997,66.984543,8775800
2022-06-24,68.330002,70.779999,67.970001,70.699997,70.025238,20132600
2022-06-27,69.370003,70.849998,68.940002,70.410004,69.738014,8840600
2022-06-28,70.570000,71.070000,68.529999,68.580002,67.925476,7252100
2022-06-29,69.029999,70.089996,68.779999,69.209999,68.549461,8077900
2022-06-30,68.209999,70.250000,68.209999,69.870003,69.203163,9888600
2022-07-01,69.849998,70.980003,69.809998,70.870003,70.193626,7805600
2022-07-05,70.379997,72.000000,70.180000,71.989998,71.302925,9040400
2022-07-06,72.320000,72.739998,71.309998,71.660004,70.976089,6043700
2022-07-07,71.830002,71.980003,71.180000,71.830002,71.144455,7814500
2022-07-08,71.690002,72.239998,71.330002,71.870003,71.184074,4927300
2022-07-11,71.000000,71.970001,70.900002,71.570000,71.203972,4543300
2022-07-12,71.599998,71.940002,70.070000,70.410004,70.049911,7140800
2022-07-13,69.050003,70.529999,68.680000,70.029999,69.671844,6454800
2022-07-14,69.160004,69.580002,68.230003,69.449997,69.094810,4915500
2022-07-15,70.260002,70.870003,70.000000,70.739998,70.378212,5134100
2022-07-18,71.250000,71.709999,70.150002,70.209999,69.850929,4642300
2022-07-19,70.639999,72.300003,70.260002,72.239998,71.870544,7160300
2022-07-20,72.550003,73.099998,72.160004,72.589996,72.218750,5655700
2022-07-21,72.150002,74.629997,72.129997,74.540001,74.158783,7005100
2022-07-22,74.820000,75.290001,74.260002,74.900002,74.516945,6659800
2022-07-25,75.099998,75.430000,74.339996,74.860001,74.477150,5721600
2022-07-26,74.800003,75.300003,73.709999,74.029999,73.651390,7284400
2022-07-27,74.379997,76.120003,74.320000,75.870003,75.481987,6677200
2022-07-28,75.639999,77.279999,75.309998,77.040001,76.645996,5688100
2022-07-29,77.010002,78.160004,77.000000,77.839996,77.441902,5926600
2022-08-01,77.180000,77.809998,76.699997,77.440002,77.043953,5227500
2022-08-02,76.989998,77.260002,76.059998,76.349998,75.959526,6403400
2022-08-03,76.720001,77.760002,76.300003,77.370003,76.974312,6127800
2022-08-04,77.449997,77.849998,77.110001,77.400002,77.004158,3656200
2022-08-05,76.269997,77.400002,76.000000,77.349998,76.954414,4858100
2022-08-08,76.919998,77.430000,76.269997,76.470001,76.078911,4733500
2022-08-09,76.209999,76.910004,75.839996,76.769997,76.377373,4243700
2022-08-10,77.589996,77.980003,77.199997,77.540001,77.143440,5258500
2022-08-11,77.949997,78.000000,77.080002,77.160004,76.765388,5554600
2022-08-12,78.000000,79.419998,77.660004,79.150002,78.745209,6692300
2022-08-15,78.839996,79.419998,78.500000,79.110001,78.705414,3733500
2022-08-16,78.900002,79.660004,78.849998,79.519997,79.113312,6185100
2022-08-17,79.000000,79.769997,78.949997,79.250000,78.844696,5185100
2022-08-18,79.279999,79.879997,79.010002,79.320000,78.914337,4120500
2022-08-19,79.029999,79.129997,78.440002,78.660004,78.257713,4679000
2022-08-22,77.930000,77.930000,76.169998,76.459999,76.068962,5757700
2022-08-23,76.250000,77.010002,76.250000,76.410004,76.019226,4432300
2022-08-24,76.470001,76.559998,76.050003,76.169998,75.780449,3876400
2022-08-25,76.339996,76.910004,75.980003,76.889999,76.496765,3523400
2022-08-26,76.980003,77.260002,74.570000,74.650002,74.268219,4904100
2022-08-29,74.110001,74.860001,74.070000,74.190002,73.810577,4295500
2022-08-30,74.419998,74.669998,73.459999,74.139999,73.760826,5099100
2022-08-31,74.459999,75.150002,74.040001,74.150002,73.770782,8612900
2022-09-01,74.120003,75.370003,73.529999,75.300003,74.914902,8139800
2022-09-02,75.739998,76.769997,74.480003,74.680000,74.298065,11027700
2022-09-06,74.699997,75.190002,73.550003,73.830002,73.452415,7090100
2022-09-07,73.680000,74.669998,73.419998,74.489998,74.109039,5792600
2022-09-08,74.029999,74.800003,73.610001,74.650002,74.268219,6897100
2022-09-09,74.650002,76.010002,74.440002,75.910004,75.521782,7762400
2022-09-12,76.629997,77.379997,76.269997,77.080002,76.685799,15628900
2022-09-13,76.059998,79.410004,75.779999,76.040001,75.651115,29476500
2022-09-14,75.790001,75.870003,71.769997,72.120003,71.751160,21601400
2022-09-15,71.500000,72.089996,69.750000,70.239998,69.880775,12478100
2022-09-16,69.580002,69.800003,68.250000,68.830002,68.477989,23412000
2022-09-19,68.199997,69.129997,67.910004,69.070000,68.716759,8364000
2022-09-20,68.269997,68.459999,67.449997,68.110001,67.761665,8624300
2022-09-21,68.709999,68.879997,66.739998,66.750000,66.408623,6768200
2022-09-22,66.849998,66.940002,65.839996,66.029999,65.692307,7190700
2022-09-23,65.349998,65.440002,63.869999,64.550003,64.219879,9282500
2022-09-26,64.330002,64.919998,63.389999,63.450001,63.125500,6897800
2022-09-27,64.160004,64.400002,62.040001,62.419998,62.100765,9284800
2022-09-28,62.619999,63.349998,62.250000,63.070000,62.747444,8549900
2022-09-29,62.290001,62.599998,60.779999,61.400002,61.085987,8882100
2022-09-30,61.259998,62.139999,61.060001,61.070000,60.757671,9794400
2022-10-03,60.990002,63.240002,60.810001,63.080002,62.757393,9661400
2022-10-04,63.799999,65.830002,63.799999,65.690002,65.354050,9892600
2022-10-05,65.339996,67.190002,64.980003,66.639999,66.299187,9201600
2022-10-06,66.330002,66.809998,65.220001,65.300003,64.966042,6992000
2022-10-07,64.489998,64.620003,62.740002,63.290001,62.966320,7137900
2022-10-10,63.610001,63.900002,62.020000,62.570000,62.250000,6407200
2022-10-11,61.849998,63.099998,61.650002,62.410000,62.410000,7376900
2022-10-12,62.619999,64.279999,62.169998,63.779999,63.779999,9008600
2022-10-13,62.480000,65.709999,62.270000,65.199997,65.199997,10147100
2022-10-14,65.720001,66.610001,64.209999,64.309998,64.309998,8044500
2022-10-17,65.879997,67.570000,65.870003,67.019997,67.019997,11368300
2022-10-18,68.000000,68.580002,66.330002,67.029999,67.029999,6688600
2022-10-19,66.489998,67.190002,65.779999,66.300003,66.300003,5506000
2022-10-20,67.529999,69.919998,67.190002,69.250000,69.250000,17600500
2022-10-21,71.029999,72.790001,70.309998,72.699997,72.699997,15652600
2022-10-24,72.930000,73.690002,71.779999,72.919998,72.919998,11489400
2022-10-25,73.449997,74.110001,72.610001,73.139999,73.139999,9137700
2022-10-26,72.610001,75.720001,72.550003,74.820000,74.820000,10693600
2022-10-27,74.750000,75.879997,74.550003,75.150002,75.150002,7053000
2022-10-28,75.300003,77.680000,75.300003,77.360001,77.360001,8758100
2022-10-31,76.500000,78.330002,76.400002,78.070000,78.070000,12349000
2022-11-01,78.599998,79.230003,76.339996,77.110001,77.110001,7753000
2022-11-02,76.650002,77.430000,75.010002,75.120003,75.120003,7524300
2022-11-03,74.720001,75.690002,74.050003,75.029999,75.029999,6761200
2022-11-04,75.940002,76.669998,74.239998,76.000000,76.000000,7218600
2022-11-07,76.110001,77.089996,75.489998,76.739998,76.739998,5394300
2022-11-08,76.949997,77.139999,75.019997,75.639999,75.639999,9104200
2022-11-09,75.379997,76.540001,75.000000,75.660004,75.660004,6013700
2022-11-10,77.699997,78.470001,76.709999,77.169998,77.169998,10437300
2022-11-11,77.129997,77.889999,76.570000,77.739998,77.739998,7712600
2022-11-14,77.480003,79.540001,77.330002,78.529999,78.529999,7153000
2022-11-15,78.930000,80.680000,78.010002,79.180000,79.180000,7618500
2022-11-16,79.120003,80.230003,78.860001,79.889999,79.889999,6011900
2022-11-17,79.169998,79.580002,78.190002,79.199997,79.199997,5717300
2022-11-18,80.000000,80.459999,78.849998,79.730003,79.730003,6106100
2022-11-21,79.570000,80.099998,78.900002,79.820000,79.820000,5235400
2022-11-22,79.889999,82.209999,79.830002,82.120003,82.120003,8796200
2022-11-23,82.120003,82.919998,81.779999,82.559998,82.559998,6347900
2022-11-25,82.849998,83.489998,82.540001,82.720001,82.720001,2754900
